sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
41784,39989,54839,57656,40209,12032,58627,60647,18452,64514,33536,44064
58935,60468,7991,9272,21265,10496,59395,60903,33556,771,46336,45344
28216,27445,42039,44088,33809,11264,59651,64999,29460,1795,39936,53536
65079,821,13879,15672,22545,10240,60931,63975,26644,515,41216,49184
23096,23605,36663,39224,31249,10752,55555,57319,32788,59650,38144,52256
55095,56372,3383,5432,20753,11520,53251,56295,33044,5123,39936,49952
54327,56116,3383,4664,19473,11520,50947,61159,33300,6403,41984,50464
25144,24885,38967,41528,30481,9984,48899,62695,36116,3,40448,47904
28728,28213,42551,45112,33809,9984,41731,51687,36884,59650,42752,60704
53559,54836,2103,3896,18193,9472,54531,57063,29972,7171,39936,53024
56119,57652,5175,6968,17425,10240,51715,64231,29460,59906,45312,59168
16184,16181,30519,32824,28945,9472,46851,60135,36372,5123,46080,53536
17720,18485,31543,34360,29457,10240,54275,53735,34580,5379,48384,56864
13112,14901,26935,29240,28945,13568,54275,62439,40212,3331,48640,48672
22584,23349,36919,39224,31505,10752,47875,62183,33812,64002,44800,58400
28472,28213,42551,44600,31249,10496,54275,60135,40980,4867,45312,55584
7224,7989,20791,23352,25617,9984,48387,64231,38676,2819,37120,47136
5432,6197,19511,21560,26129,10240,50179,60903,44820,4355,42240,55584
50487,52788,65078,1336,19473,10496,44803,55015,48404,4355,39424,52512
9528,9781,23863,26168,27921,9216,43267,53991,44820,5635,48384,53280
54071,55860,3127,5176,21777,9472,43779,57575,48660,6915,49920,58656
11320,12853,25399,27960,29713,9984,50179,2280,55060,7683,46336,56096
30264,31285,44343,47160,38417,11008,47619,57319,50964,6915,48640,58144
53047,54324,1847,3640,22289,10240,46595,64487,54036,2051,50944,60704
55095,56116,3895,6200,23825,9472,55811,61671,57108,4355,45056,59168
43320,42293,56887,60472,44561,9728,47107,54503,58644,62466,48640,59424
64567,65076,12599,14904,28689,13824,48643,55783,57620,3331,47360,64032
824,1589,14903,17208,27665,9984,59139,58855,59156,8963,55040,59936
9784,10293,23863,26424,31761,13312,53251,60647,5141,2563,49152,58912
54583,56116,3383,5432,21009,11264,59395,62183,63764,9987,51200,58144
5432,5429,19767,22328,29713,9728,51971,60135,2069,6147,52736,33
29496,28725,43575,46392,37137,9984,56323,58343,21,9219,51456,58656
568,1333,14903,17208,26641,10240,58627,60391,4373,11011,55808,59936
59447,60980,8503,10808,23057,9984,61443,54247,65044,6403,54272,58912
15160,15413,29239,32056,30481,9728,61955,50407,533,10499,49664,63264
3896,4149,17719,20024,28177,13824,63235,49895,7189,11779,51200,4129
64567,65332,13367,15928,24081,10240,2820,53223,6421,11523,57344,59168
62263,63540,10551,13368,24849,9984,3076,58087,5653,12035,50688,57888
62519,64052,11575,13880,29457,9728,4356,50407,8469,7427,44544,65312
