sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
52788,33842,13370,24377,59673,9728,521,12034,45342,49923,13569,57376
7989,55090,35642,46905,6682,9984,13577,64001,45854,41731,11009,53024
33333,15155,64058,9018,22042,11776,14857,3074,43038,43011,64256,52000
50484,31538,10298,21561,57113,11264,1033,3842,42782,48643,4609,54304
18485,64818,47674,58169,11290,10240,11017,7170,56606,44803,3329,57888
50228,32050,10298,21817,56089,11008,3337,8962,46622,46339,513,45856
19765,2355,48698,59193,12314,10496,12041,4098,48158,40451,13825,50976
62260,44850,23354,34361,63513,10240,5129,6146,53022,44291,12033,53280
55092,36914,15418,26937,57369,12032,2313,65025,53022,53251,16385,52000
64564,46130,25658,36921,60953,13312,3849,2306,52766,39171,63232,53024
5429,53298,33338,44345,63769,13568,8201,8706,51230,44291,10241,55328
20533,2867,49210,59961,7194,10752,13321,9730,52254,49155,19201,54048
60212,42802,21050,32825,57625,13824,10249,4610,51742,38147,23297,57120
19509,1331,48698,60473,5402,9472,9737,12802,58654,42499,13057,49184
20789,2867,49978,62265,4890,9728,14345,7426,51742,49155,9473,60448
1333,49458,28730,40761,60441,10496,13833,6402,2591,41987,14337,51232
22325,3891,51770,63545,4890,10240,15625,14594,61726,43267,12545,52256
49204,31794,9530,22073,49945,9984,17161,12802,64286,44291,6401,52256
5173,53042,32570,44089,59417,9728,18185,13058,63774,44035,18945,50208
60468,42290,21050,33593,55321,12544,21769,16130,63518,48643,14849,44320
65076,47410,25658,37945,57625,10496,26121,17666,65054,49923,6401,56608
21301,1843,49466,61497,2842,9984,28425,13058,63518,46851,9729,55584
63796,44594,23610,35641,54809,13312,29705,16898,1055,46083,23297,48416
6453,52786,32570,44857,59929,9728,36361,13570,60702,57091,17153,60704
23605,4147,51514,63801,4122,9728,41225,12546,6687,56323,19457,53792
44597,25395,9019,20794,16410,9984,38921,11266,63774,43779,15617,55328
20533,1075,47930,59961,538,10240,39177,15106,4895,51203,23553,63776
5173,51250,31034,43577,56601,13568,44297,22274,56606,48643,15617,58400
8501,53298,34106,46649,59417,9728,45577,17666,5407,51971,14593,63008
43829,23603,7483,19770,14362,9984,43017,21506,5663,49667,24577,63264
56372,36402,15162,27961,51225,12032,46601,16130,799,60931,19457,64800
51508,31538,9274,22329,47129,10496,45065,15874,4127,58883,20481,63520
43317,22323,6459,18234,13850,10240,55817,15874,7199,54275,23041,65312
