sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
2347,52276,4407,21816,25113,11008,48653,53504,63516,56837,33282,35104
40490,18228,35894,52535,9753,9728,51213,51712,57628,50437,33282,46624
55594,39220,57142,9272,19225,12544,53773,48896,5661,57349,25602,37920
43306,25140,42294,60471,11033,9728,46349,57856,541,53765,28162,43040
31274,10036,26678,44087,3865,10496,45069,54528,1565,54277,25602,36128
51754,35124,53302,5688,16921,9728,37389,52224,60700,55813,25602,27936
62506,47924,1335,19768,22809,13312,34317,49408,4125,59653,24834,33568
57130,41268,60470,13112,19225,9728,36621,59648,63260,49157,18690,27424
29738,6964,26166,43575,793,9984,39181,62464,59676,41989,23042,34592
58666,43828,61750,14392,22553,10240,39693,54528,7709,57349,19970,21280
58154,43316,62262,15160,23577,10240,36109,60928,5405,45317,23042,27168
48426,31028,48438,1592,16153,10496,39181,58624,7709,47877,25602,27680
64554,49972,2359,21816,25625,10752,42765,55808,10013,49157,23298,25376
57386,41524,58934,12600,19993,10240,48397,57600,10269,53765,13570,17696
12843,1845,20023,39992,34329,10240,44557,1,6173,50437,25346,20768
64810,49972,2359,22072,25881,10752,47885,1537,8989,60165,28162,20256
9003,62516,15159,34616,30233,11520,44301,64256,14109,51461,16386,20000
39722,19508,35894,54583,8217,10496,49933,57600,16669,57093,22530,27168
24618,308,17462,35639,62744,9984,55053,54272,11037,48901,15106,28192
58666,41524,60470,13368,18457,11008,50957,57856,16157,54789,20738,29216
41258,19764,37430,56375,7705,9984,46861,52992,16157,50437,20482,33312
45610,24884,42806,61751,12057,9984,41741,62976,7453,39173,19970,31264
33066,10292,26934,45367,2073,10496,35341,54272,17693,43781,16386,27936
54570,35892,53558,7480,14873,10496,29453,57344,18973,47877,14082,29984
59178,41524,58934,13112,19737,10496,36365,48640,23581,50437,16386,30240
61738,43316,62262,16184,19737,9728,24333,57088,25885,46597,17410,29728
16171,1845,20279,41016,33561,10752,15885,53504,27421,41989,11010,24864
37162,13108,30262,49975,3609,10240,30221,54272,26397,36357,9730,25120
42794,19252,36150,55607,8729,9984,17677,49920,37149,36101,29954,29472
61738,42804,60726,15672,23833,10240,17421,54016,29725,39941,19458,32288
39978,15412,32054,52279,8473,10240,21773,49152,19485,45061,10498,28960
63530,43572,61238,16696,25369,9984,19469,51200,23069,37637,21762,26144
51754,28468,45622,1592,17689,9728,22541,56832,24605,38405,18434,25376
59434,37940,55094,11576,24857,10240,23053,47872,30493,38917,13826,27168
45098,20276,37942,58935,14873,9472,27149,51456,31261,45061,14850,25632
37162,10804,27958,48439,9753,11520,32013,60672,30493,46085,21762,15904
38186,12084,28726,49975,9497,10240,37645,50944,37405,44293,15362,21280
42538,16180,32822,53815,12825,9728,30989,55552,36637,39685,11778,21280
48426,22324,39478,60983,18713,9728,31245,58112,31261,48645,11522,18720
39466,10804,26678,48439,11289,12032,35597,52224,23581,40197,11266,18464
57898,34356,50998,7224,23577,10240,27917,47360,26909,40453,13826,26656
1323,45108,62006,19000,28697,10240,26637,46080,30493,39685,14850,18464
56362,31796,48182,4920,21017,9728,20237,53248,35101,45317,1538,22048
5675,48180,64310,22072,29465,11264,6413,44544,34333,39173,7682,19232
49450,21812,37942,60727,15129,9728,4621,45568,25117,35333,8706,17952
54314,27444,43318,1592,17689,9472,1037,45312,16925,37125,6914,26400
60970,35124,51254,9784,18713,9472,62732,46080,24093,30725,12034,30240
47402,17972,33590,57911,9241,9984,2317,44288,26909,37381,9730,31776
56874,28468,45110,4152,13337,13056,64012,39424,25629,33541,4098,22560
16427,59444,10807,35640,29465,11776,8205,39936,19997,30725,7682,24864
44330,14388,29494,53559,4633,9984,12557,46080,20509,27653,6402,29216
3115,43060,60214,19512,20505,9984,8461,47872,20253,28933,6914,27936
37418,5428,22070,45367,63768,10240,5901,44544,17693,28421,3586,27424
44074,12852,30262,54327,2329,9728,13581,39680,21789,42757,6402,25376
299,39220,56630,15672,16409,10240,12301,43264,11805,39685,4866,27168
2347,41524,59702,18488,17945,9728,13837,47104,12061,40965,7682,19488
5931,46132,62774,22328,21017,10496,21261,46848,19229,46341,7170,18720
42282,9780,25654,50231,64792,9728,16909,39168,12573,45061,14338,20512
1835,38964,55862,15928,16665,10240,30221,45568,17693,44549,6658,33056
3371,42036,58678,19256,19481,9984,31757,41472,11549,44037,12546,23840
59690,31028,46902,6968,12569,13312,33037,52736,20253,49669,8194,24352
14379,55348,5943,32056,25881,12288,32781,49920,15133,48901,14082,24864
17195,58676,10295,35896,28441,11776,30733,48640,15901,49413,8962,24096
3371,42036,57398,17720,19481,13056,32013,47360,7453,43781,5890,27424
42282,9524,25142,49975,537,10752,24333,39936,7453,41989,11010,26400
61482,32308,48438,7480,13337,10496,24845,51200,12573,48901,16386,26400
4139,43060,60214,19256,21785,12032,12301,49152,16669,34821,4866,24608
53034,21812,37942,62007,8729,10496,9741,46848,19485,43269,10498,19488
58922,29492,46390,5176,12313,9728,10509,54272,11549,27653,9474,16928
65066,36404,53558,12856,17433,10240,5645,42240,8989,22021,16898,22304
51498,19764,35638,60215,10009,10240,58380,44032,17693,25605,21506,27168
20779,61748,13367,39480,33049,10496,57868,43776,4637,17669,12546,26656
45866,12596,26934,52791,6937,10240,40716,45056,2589,2565,12290,42016
10539,49204,64822,25656,25369,11776,43276,46336,4125,12805,16130,46880
49450,15668,32310,57399,8985,13056,44556,47872,62236,8453,14338,45600
38698,2612,17206,43831,64536,9728,44044,40704,541,23813,12290,33568
