sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
32811,6449,27699,61494,63003,9984,20999,64021,50197,9221,39681,60192
39723,15153,35123,3895,2844,9984,15623,534,47637,6661,33281,44064
56107,33841,56627,24119,13596,13312,3079,6422,56341,5637,38657,36896
63787,44081,308,34871,22044,10240,12295,3094,44053,4357,50177,49440
32555,7217,31539,62006,61723,9472,13319,5654,29205,1797,51969,46624
51755,30257,55603,21047,9500,12800,15623,63253,23573,4101,49665,50464
56875,37681,61747,27703,10524,12544,21511,50709,24853,6405,43777,41504
43051,21809,43827,11575,2588,13568,17927,51221,30741,12037,43777,41248
52779,34609,52275,22583,10780,9984,16135,58901,38677,6917,40705,36640
33067,9521,26931,60982,59163,12544,24327,58389,29717,5637,30977,32544
61739,45361,60211,31287,13596,14336,26631,52757,38677,13061,30721,35360
57899,35633,51763,22583,9500,13568,47111,53525,36885,9221,27393,18208
33067,6961,24371,58422,53531,9728,39943,54805,33301,10245,34049,4128
34347,8241,26163,59190,53275,9984,34567,58901,50453,63236,48129,17440
33067,8241,24627,59446,53787,9728,23303,59925,33045,3333,34561,43040
35371,11313,26675,61750,55067,9728,38407,62741,17685,24069,44289,41760
41771,18481,34611,2871,60187,10240,27143,57621,27669,15621,35329,34848
57387,35377,53043,22583,4124,13312,35335,59925,35093,10245,48129,24352
38699,13873,31539,567,56347,10240,49927,2070,34837,3589,32769,33824
6956,54321,7732,43831,14620,13312,50439,10774,30997,17669,39169,43808
9004,56625,10036,46391,18716,10752,32519,20246,43029,14341,39937,25376
62251,41777,61235,29495,5148,10240,36871,13846,43541,13317,47617,20768
48171,25649,45619,12343,62491,10496,30215,6934,43285,9733,46593,20000
53803,30513,53811,18231,63259,9984,42759,4118,35349,11269,55553,13088
54059,31537,56115,18999,61467,10240,47111,5398,43029,16133,50433,34592
36907,13617,41011,55,51739,10496,39175,8726,32277,20485,61185,34592
59691,40753,2868,29239,2332,10240,26631,7446,33045,19717,57345,37408
64299,44593,7220,34359,4636,9728,40455,15126,39701,18181,51457,19488
33579,6193,37427,61238,49435,10240,44295,9238,31509,18949,45313,14880
64043,39473,5940,31543,4892,13824,49159,25366,39189,23813,43521,43040
42539,13105,44851,4407,52507,12544,50951,10262,32277,29701,50433,26400
36395,3121,35379,59446,48923,10752,44039,18710,38933,20997,52225,22816
63275,36401,65075,24631,3356,11520,45831,26134,44309,31749,49153,29728
2604,39473,5172,31287,4892,11520,46855,32534,45589,28421,47617,20512
17196,57393,23348,50231,17436,9728,48135,30742,46613,27653,56833,34592
36651,3889,36403,58422,48667,10496,34823,32790,40469,32261,55553,35360
59435,28721,61491,18487,61467,9984,35847,32790,35605,20741,51969,19744
64811,35377,2612,25911,62747,9728,39687,43030,44309,19717,56065,21792
5420,43569,9012,32311,3100,10240,35079,37142,48917,27909,50433,25120
43819,11569,43059,64822,52763,9984,37639,44566,47893,32517,1794,32288
1324,35889,4404,28471,4124,9728,34311,42006,51221,24069,62721,33056
41259,7217,38963,61750,49947,11776,26887,43286,58389,25093,51969,26400
41003,6705,38963,61494,46107,10240,28935,54806,54037,34821,770,26400
7468,44337,11572,36407,5148,10496,34055,53526,54549,24581,1538,32544
64043,33585,1588,25143,1820,9984,29447,57878,64789,26117,2306,37152
18220,57905,24116,48183,16156,10240,23303,64022,54037,23813,13058,37920
53547,23857,54323,11063,59419,10496,27399,2071,65045,30725,4354,36384
56107,27697,58163,14903,59931,9984,26375,5143,64789,14085,65025,48416
41771,11313,39219,62518,43035,10496,23559,62486,60181,31749,5890,47136
31531,561,27699,49718,39451,9984,20999,63254,53525,25605,258,40480
53547,25393,53043,10039,55067,10496,21255,64790,58901,20997,5378,53536
39467,8241,36147,57398,48155,9984,19207,3607,52757,23301,8194,53280
42283,9009,38963,58678,48155,10496,19719,63510,57109,26885,4866,49696
47147,13105,46899,64310,45595,10240,11015,13847,57621,25605,63489,49184
22828,57905,28468,47415,9756,9984,17671,7191,534,27653,258,50720
6444,39729,10804,27447,56859,10496,7431,7447,58901,29189,62977,50976
58411,24881,60211,10807,47899,10240,10247,1047,61461,34053,2818,50464
44587,10545,44083,59446,34843,9472,60422,3863,48405,26373,1026,60960
51499,13617,50995,55,40475,9984,64774,7703,63509,24581,65025,53792
6188,37425,10292,25143,54043,12544,3079,4887,63253,21765,60929,50976
8748,38449,13364,28215,50459,11008,6663,8983,60181,27141,60161,48672
64299,24881,62771,13879,45851,9984,4359,8471,46357,22021,1282,55840
2348,30001,2356,17975,48667,10496,13831,16151,59157,30981,4866,49440
15148,44081,18740,33335,59675,11776,18183,14615,52757,30981,6658,57120
59179,17457,59443,6455,45339,9728,19463,12055,1046,30469,8706,50976
56619,13361,54579,1079,43291,13312,24327,12567,56085,25861,6658,45600
16940,41265,17460,31031,1564,10496,34055,14103,55829,28933,4098,53024
3628,24881,2612,14903,54299,9472,26631,14359,55573,35589,8962,43552
16428,38961,17972,31031,60699,10752,32775,12823,56597,35845,8450,44576
62251,17969,58163,5943,48155,10240,32775,22551,1046,40709,7426,52256
48427,305,41779,53814,37147,9472,37383,22807,57109,44037,63745,36128
31532,57905,31796,47415,4380,10240,38151,23575,56597,52741,7426,35872
16940,43057,16692,30263,55579,10752,39431,22295,55061,42501,7938,39968
64555,22577,62771,9783,45595,9728,45831,20503,56085,45829,4098,35360
51499,6449,46131,57654,29467,10496,49671,9751,54293,49157,7426,35872
19500,44337,17716,32567,54043,10496,52487,21783,60437,46085,8706,35616
8236,28465,3892,18487,46107,9984,48391,25879,53269,47365,9986,32288
33068,55345,32820,47927,2332,11520,49415,16919,57109,50949,6146,26656
11820,32049,8244,22839,50203,10240,61959,11287,58901,53509,63745,23072
4140,21553,64307,13879,45339,13568,46343,13079,56597,45829,64001,24352
36140,60209,35636,52791,3868,11520,50695,18455,54549,48901,3586,27680
59435,11313,51763,1335,38171,9984,43271,6167,60437,43781,7426,26656
16684,34097,11060,27703,51227,10496,48135,4887,51733,43269,55041,29472
2348,17457,59443,11063,40219,9472,47879,2839,54805,46341,61185,28960
38188,58673,33588,54327,65307,11264,47111,57366,56853,44293,53505,32032
21036,38961,13620,32055,49435,12032,49671,60182,46869,41477,55041,25632
19500,36145,9012,28727,48411,10496,52487,59158,48661,42245,55041,28448
19244,37937,9268,30519,47387,10496,60679,51222,58645,40453,51969,25376
52779,561,38963,56630,22555,10496,50951,47382,52245,41477,46593,34592
7980,24369,61747,15671,39195,10496,56583,50454,35605,38149,50945,31520
13100,30513,3636,21815,38171,10240,46855,49430,48149,32773,50945,28704
2860,18481,57651,9783,29467,9984,40199,53526,36885,31749,59393,21024
5164,20529,60211,13623,32795,9472,41735,45078,39701,38149,56833,26656
23340,40497,16948,36407,42267,9984,37895,43286,38933,29189,54017,39968
11820,26417,2612,20535,35355,10752,25863,34070,38933,25861,51457,30240
22828,38449,13876,32823,43803,12032,30727,39190,37397,22021,51969,20768
25388,38449,16692,35639,42011,13824,30215,35606,32533,22277,52225,28192
9260,18481,61491,14903,28955,13568,19975,45590,21525,22277,46593,23584
8748,19505,62259,14903,25883,9472,20487,31766,38165,24837,47361,18976
27692,41009,17716,37431,47899,11520,16135,34582,31509,18181,37377,26656
29228,42033,22324,40247,49691,13312,18695,24086,21269,13061,51201,24352
14892,26929,7988,23607,44571,9984,20487,28438,26901,20229,44289,24352
27692,40753,20276,37175,55067,10752,16903,21014,16917,14597,55297,21024
13612,24113,4404,20535,46875,9472,9991,27926,17173,17157,42753,20768
24364,36657,15924,32823,53019,11776,17159,24854,25877,25861,49153,25376
2604,12849,56371,7735,35611,9984,2055,32790,29205,24069,37121,21280
22316,33585,11572,30263,45595,9728,4615,24342,15381,22021,52225,25632
25900,40241,15668,35127,51227,9984,5127,26134,18197,20741,46849,29472
61227,4913,46131,64054,25883,8960,64774,26902,14357,24837,47617,38688
3628,15921,54067,7991,32795,9984,52230,42518,10261,24837,45569,29984
8236,22321,59955,13111,32027,10240,8967,23318,13077,16389,35841,42016
61739,10033,47155,1335,26651,10240,46087,18454,26133,23301,29953,35360
21036,40497,9780,34103,43547,11264,55047,15382,14613,13317,45569,37664
19756,39473,8244,31287,45339,10496,23303,19478,64020,24837,37889,26912
4140,22321,56371,11575,36635,10496,10759,11542,63764,16901,39937,32800
54315,2865,37939,57142,25627,10496,17159,25110,16661,18693,31489,18464
11564,26417,308,20023,37659,9728,42759,16918,24085,6405,39169,18464
14380,30001,2356,23351,41755,10496,55815,26390,10261,21253,41985,25888
556,12849,53811,6967,31515,10752,47111,15382,8469,26117,42241,25376
49195,60208,36915,53046,20507,9728,25863,7958,64276,26629,43009,20256
52267,64048,38963,56374,19995,9984,10247,15126,58900,27141,55297,24864
9516,22577,564,18743,35867,9728,1543,25622,64276,33541,46849,27424
