sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
54581,36657,28727,48185,27419,10240,37128,8706,56094,515,6145,55840
30261,13105,4407,22585,13339,11776,38920,7170,47390,7171,65280,52256
3125,54064,41782,58680,61978,10240,31752,15106,59678,5123,5377,53792
9781,59952,48950,825,64794,9472,34568,12802,44574,2051,7681,46112
3381,54832,42550,59192,59162,12800,34824,5122,48670,65282,13569,53536
16693,2353,55606,7737,1051,9728,37128,6914,54558,6915,11521,54048
821,50992,39222,55864,58394,9728,34568,12290,52766,2563,63232,52512
44853,28209,18487,37433,19483,9984,39432,11010,54046,2563,14849,45088
22581,7217,61238,13369,6939,13312,41736,64769,59422,8707,16897,58144
1077,52528,39478,56632,59162,9984,34056,3330,48926,7939,8449,49696
5685,56880,44086,60984,59930,10240,36616,13826,63774,2051,11777,53024
23861,7985,62518,15161,4891,13312,37640,16898,59166,11011,257,56608
55605,38449,29495,49209,23067,10752,39176,15874,59678,9219,11777,49696
25397,10033,64054,16953,7451,9984,36616,11010,64030,11011,10241,55072
8501,60464,46646,64312,63002,10496,37896,9730,57630,9475,3841,56096
9013,60720,47158,65080,63258,9728,44040,18946,61982,8451,3585,56352
31285,16177,4663,23609,10523,9472,42504,20482,59678,17411,8449,52768
34101,17969,7479,26681,12827,9728,45320,20994,61470,10755,8705,41248
31029,15409,4407,23609,9755,10496,49928,21506,287,2819,9985,50976
7989,61744,46390,64568,64794,9984,49160,20738,799,15107,6913,49952
35125,21809,8759,27705,14363,10240,48648,20482,6943,10499,8193,53024
37941,24113,12087,31033,16155,10496,48648,26114,4895,10499,10753,44320
33077,19505,6455,25401,13083,10496,42504,24322,7455,16131,9473,45344
14389,817,53558,5945,539,9728,47624,26114,8735,13059,13825,31520
55605,41521,30007,49977,25371,11264,45064,23810,12831,17667,14081,40992
38197,24625,12087,31289,13851,11008,48136,20994,7967,13571,10241,50976
63796,52528,36918,55096,56602,9728,46600,31490,8223,16131,11009,47136
3381,55856,41526,59960,61210,9472,48136,28930,543,17155,15617,51232
5429,58160,43830,62008,62490,10752,45320,29954,3871,20227,14849,52512
57908,45104,30774,48184,56090,11776,51208,26114,10015,14851,19713,54048
30261,15153,3895,23097,11035,9984,47112,29954,13599,15363,18945,48416
